"PROVINCE","DISTRICT","AGE_GROUP","MARITAL_STATUS","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","BARKHAN","25 - 29","SEPERATION",4,2,2,0,4,2,2,0,0,0,0,0
"BALOCHISTAN","BARKHAN","25 - 29","WIDOWED",50,21,29,0,49,20,29,0,1,1,0,0
"BALOCHISTAN","BARKHAN","30 - 34","DIVORCED",2,2,0,0,2,2,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","30 - 34","MARRIED",9487,5147,4340,0,8756,4746,4010,0,731,401,330,0
"BALOCHISTAN","BARKHAN","30 - 34","NEVER MARRIED",1076,363,713,0,951,315,636,0,125,48,77,0
"BALOCHISTAN","BARKHAN","30 - 34","SEPERATION",6,1,5,0,6,1,5,0,0,0,0,0
"BALOCHISTAN","BARKHAN","30 - 34","WIDOWED",48,38,10,0,44,36,8,0,4,2,2,0
"BALOCHISTAN","BARKHAN","35 - 39","DIVORCED",10,8,2,0,10,8,2,0,0,0,0,0
"BALOCHISTAN","BARKHAN","35 - 39","MARRIED",8342,4207,4135,0,7730,3871,3859,0,612,336,276,0
"BALOCHISTAN","BARKHAN","35 - 39","NEVER MARRIED",478,146,331,1,409,113,296,0,69,33,35,1
"BALOCHISTAN","BARKHAN","35 - 39","SEPERATION",7,4,3,0,7,4,3,0,0,0,0,0
"BALOCHISTAN","BARKHAN","35 - 39","WIDOWED",116,90,26,0,108,84,24,0,8,6,2,0
"BALOCHISTAN","BARKHAN","40 - 44","DIVORCED",3,3,0,0,2,2,0,0,1,1,0,0
"BALOCHISTAN","BARKHAN","40 - 44","MARRIED",7615,3632,3983,0,7018,3358,3660,0,597,274,323,0
"BALOCHISTAN","BARKHAN","40 - 44","NEVER MARRIED",189,56,133,0,164,47,117,0,25,9,16,0
"BALOCHISTAN","BARKHAN","40 - 44","SEPERATION",7,5,2,0,7,5,2,0,0,0,0,0
"BALOCHISTAN","BARKHAN","40 - 44","WIDOWED",123,92,31,0,111,80,31,0,12,12,0,0
"BALOCHISTAN","BARKHAN","45 - 49","DIVORCED",1,1,0,0,1,1,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","45 - 49","MARRIED",5337,2528,2809,0,4951,2356,2595,0,386,172,214,0
"BALOCHISTAN","BARKHAN","45 - 49","NEVER MARRIED",88,25,63,0,78,22,56,0,10,3,7,0
"BALOCHISTAN","BARKHAN","45 - 49","SEPERATION",3,1,2,0,3,1,2,0,0,0,0,0
"BALOCHISTAN","BARKHAN","45 - 49","WIDOWED",147,123,24,0,133,110,23,0,14,13,1,0
"BALOCHISTAN","BARKHAN","50 - 54","DIVORCED",4,4,0,0,4,4,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","50 - 54","MARRIED",5037,2497,2540,0,4658,2317,2341,0,379,180,199,0
"BALOCHISTAN","BARKHAN","50 - 54","NEVER MARRIED",43,11,31,1,39,11,27,1,4,0,4,0
"BALOCHISTAN","BARKHAN","50 - 54","SEPERATION",3,1,2,0,3,1,2,0,0,0,0,0
"BALOCHISTAN","BARKHAN","50 - 54","WIDOWED",285,252,33,0,242,210,32,0,43,42,1,0
"BALOCHISTAN","BARKHAN","55 - 59","DIVORCED",2,2,0,0,2,2,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","55 - 59","MARRIED",3144,1416,1728,0,2848,1286,1562,0,296,130,166,0
"BALOCHISTAN","BARKHAN","55 - 59","NEVER MARRIED",24,8,16,0,22,8,14,0,2,0,2,0
"BALOCHISTAN","BARKHAN","55 - 59","SEPERATION",1,1,0,0,1,1,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","55 - 59","WIDOWED",236,200,36,0,204,173,31,0,32,27,5,0
"BALOCHISTAN","BARKHAN","60 - 64","DIVORCED",2,2,0,0,2,2,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","60 - 64","MARRIED",2654,1109,1545,0,2459,1036,1423,0,195,73,122,0
"BALOCHISTAN","BARKHAN","60 - 64","NEVER MARRIED",26,8,18,0,25,7,18,0,1,1,0,0
