"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","GRESHA","SUB-TEHSIL","OVERALL",9920,4399,1645,4150,4125,7278,739
"BALOCHISTAN","KALAT","KHUZDAR","GRESHA","SUB-TEHSIL","RURAL",9920,4399,1645,4150,4125,7278,739
"BALOCHISTAN","KALAT","KHUZDAR","GRESHA","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","KARAKH","SUB-DIVISION","OVERALL",6723,3423,2852,1627,2244,3774,1857
"BALOCHISTAN","KALAT","KHUZDAR","KARAKH","SUB-DIVISION","RURAL",6723,3423,2852,1627,2244,3774,1857
"BALOCHISTAN","KALAT","KHUZDAR","KARAKH","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","KHUZDAR","SUB-DIVISION","OVERALL",54451,34078,33171,13460,7820,37087,4221
"BALOCHISTAN","KALAT","KHUZDAR","KHUZDAR","SUB-DIVISION","RURAL",23672,13669,9010,8617,6045,16630,2815
"BALOCHISTAN","KALAT","KHUZDAR","KHUZDAR","SUB-DIVISION","URBAN",30779,20409,24161,4843,1775,20457,1406
"BALOCHISTAN","KALAT","KHUZDAR","MOOLA","SUB-TEHSIL","OVERALL",4086,1629,1371,1136,1579,1890,1093
"BALOCHISTAN","KALAT","KHUZDAR","MOOLA","SUB-TEHSIL","RURAL",4086,1629,1371,1136,1579,1890,1093
"BALOCHISTAN","KALAT","KHUZDAR","MOOLA","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","NAL","SUB-DIVISION","OVERALL",15283,11327,8272,5304,1707,12160,816
"BALOCHISTAN","KALAT","KHUZDAR","NAL","SUB-DIVISION","RURAL",9116,6627,2695,4758,1663,7396,779
